date,open,high,low,close,adj_close,volume,dividend
2020-01-02,44.62,44.78,44.23,44.51,44.51,638847,0.0
2020-01-03,44.62,45.57,44.62,45.1,45.1,1270987,0.0
2020-01-06,45.05,45.52,44.63,45.08,45.08,1134986,0.0
2020-01-07,45.0,45.07,44.16,44.62,44.62,1579925,0.0
2020-01-08,44.7,44.89,44.7,44.82,44.82,1999421,0.0
2020-01-09,44.93,45.32,44.93,45.19,45.19,57524,0.0
2020-01-10,45.23,45.54,44.79,45.16,45.16,4338633,0.0
2020-01-13,45.05,45.27,44.93,45.1,45.1,2997091,0.0
2020-01-14,45.14,46.18,44.81,45.5,45.5,2314659,0.0
2020-01-15,45.59,46.64,45.59,46.17,46.17,347265,0.0
2020-01-16,46.08,47.35,46.08,46.87,46.87,110333,0.0
2020-01-17,46.72,46.76,46.65,46.71,46.71,496480,0.0
2020-01-20,46.89,46.89,46.24,46.26,46.26,4131560,0.0
2020-01-21,46.4,46.88,46.4,46.76,46.76,2369104,0.0
2020-01-22,46.58,46.62,46.27,46.44,46.44,3457901,0.0
2020-01-23,46.4,48.08,46.0,47.04,47.04,2535442,0.0
2020-01-24,47.19,47.22,46.84,47.03,47.03,475247,0.0
2020-01-27,46.9,47.27,46.83,47.05,47.05,2385658,0.0
2020-01-28,46.92,46.92,46.0,46.12,46.12,2149506,0.0
2020-01-29,46.25,46.25,44.65,45.31,45.31,4904967,0.0
2020-01-30,45.46,45.46,44.25,44.73,44.73,2309201,0.0
2020-01-31,44.69,44.69,43.46,44.07,44.07,2707467,0.0
2020-02-03,44.03,44.03,42.6,43.08,43.08,466300,0.0
2020-02-04,43.2,43.2,42.57,42.81,42.81,1308154,0.0
2020-02-05,42.87,43.97,42.87,43.83,43.83,1060928,0.0
2020-02-06,43.8,43.87,43.09,43.48,43.48,4616086,0.0
2020-02-07,43.39,44.68,43.39,44.4,44.4,4696611,0.0
2020-02-10,44.52,44.52,43.33,43.52,43.52,1330852,0.0
2020-02-11,43.53,44.62,43.53,44.4,44.4,4757907,0.0
2020-02-12,44.43,45.32,44.43,44.89,44.89,4239664,0.0
2020-02-13,44.82,46.07,44.82,45.89,45.89,1156493,0.0
2020-02-14,45.96,45.96,43.93,44.82,44.82,3665644,0.0
2020-02-17,44.98,44.98,43.49,43.7,43.7,881322,0.0
2020-02-18,43.66,44.36,43.3,43.83,43.83,2332504,0.0
2020-02-19,43.8,43.8,43.15,43.31,43.31,3390144,0.0
2020-02-20,43.34,43.37,42.69,43.03,43.03,2255804,0.0
2020-02-21,43.18,44.71,43.18,44.4,44.4,789745,0.0
2020-02-24,44.39,44.57,44.39,44.52,44.52,2537838,0.0
2020-02-25,44.48,45.45,44.47,44.96,44.96,4551730,0.0
2020-02-26,44.94,45.26,44.92,45.09,45.09,346763,0.0
2020-02-27,45.17,45.33,45.17,45.28,45.28,3937717,0.0
2020-02-28,45.34,45.34,44.52,44.69,44.69,366813,0.0
2020-03-02,44.82,46.16,44.82,45.85,45.85,3165363,0.0
2020-03-03,45.9,47.16,45.9,47.03,47.03,580040,0.0
2020-03-04,47.11,47.35,46.58,46.96,46.96,2750626,0.0
2020-03-05,47.11,47.28,47.02,47.15,47.15,2427242,0.0
2020-03-06,47.18,47.18,46.01,46.1,46.1,1736385,0.0
2020-03-09,46.1,46.31,44.7,45.51,45.51,1014378,0.0
2020-03-10,45.46,45.91,45.43,45.67,45.67,941045,0.0
2020-03-11,45.69,45.69,44.04,44.32,44.32,900320,0.0
2020-03-12,44.3,45.34,44.3,44.95,44.95,4336544,0.0
2020-03-13,44.94,45.15,44.68,44.92,44.92,211273,0.0
2020-03-16,44.81,44.81,44.44,44.58,44.58,2868137,0.0
2020-03-17,44.74,45.07,44.67,44.87,44.87,1305281,0.0
2020-03-18,44.88,45.79,44.31,45.05,45.05,3678187,0.0
2020-03-19,45.04,45.46,44.18,44.82,44.82,4650947,0.0
2020-03-20,44.55,45.27,44.55,45.23,45.23,199847,0.0
2020-03-23,45.24,45.24,44.47,44.75,44.75,1902848,0.0
2020-03-24,44.72,45.63,44.6,45.12,45.12,4080940,0.0
2020-03-25,45.0,45.0,44.45,44.7,44.7,4556349,0.0
2020-03-26,44.74,45.37,44.08,44.73,44.73,3234437,0.0
2020-03-27,44.72,45.73,44.72,45.46,45.46,1468605,0.0
2020-03-30,45.54,46.25,45.51,45.88,45.88,1593455,0.0
2020-03-31,45.89,45.89,44.51,44.93,44.93,3507769,0.0
2020-04-01,44.9,45.02,44.38,44.7,44.7,816606,0.0
2020-04-02,44.68,46.15,44.46,45.3,45.3,2094317,0.0
2020-04-03,45.34,46.34,45.34,46.11,46.11,1099022,0.0
2020-04-06,46.13,46.13,44.92,45.3,45.3,2507346,0.0
2020-04-07,45.36,45.99,44.49,45.24,45.24,655180,0.0
2020-04-08,45.38,45.51,45.38,45.45,45.45,3810853,0.0
2020-04-09,45.51,45.51,44.64,44.82,44.82,2467017,0.0
2020-04-10,44.87,44.87,43.53,43.82,43.82,2812178,0.0
2020-04-13,43.87,45.02,43.87,44.94,44.94,3548797,0.0
2020-04-14,44.86,44.97,43.84,44.4,44.4,4284675,0.0
2020-04-15,44.36,44.99,44.28,44.64,44.64,1471281,0.0
2020-04-16,44.83,44.95,42.44,43.7,43.7,2958428,0.0
2020-04-17,43.63,43.63,43.0,43.3,43.3,1664171,0.0
2020-04-20,43.3,43.45,43.1,43.28,43.28,3797739,0.0
2020-04-21,43.39,43.48,43.39,43.44,43.44,1823079,0.0
2020-04-22,43.54,43.54,42.32,42.89,42.89,2315500,0.0
2020-04-23,42.78,43.11,42.34,42.73,42.73,3273209,0.0
2020-04-24,42.95,43.29,42.65,42.97,42.97,1591829,0.0
2020-04-27,43.06,43.31,42.75,43.03,43.03,2701132,0.0
2020-04-28,42.96,42.96,41.8,41.89,41.89,3980242,0.0
2020-04-29,41.85,41.85,41.19,41.28,41.28,551653,0.0
2020-04-30,41.17,42.12,41.17,41.79,41.79,4483198,0.0
2020-05-01,41.86,41.89,41.48,41.68,41.68,611437,0.0
2020-05-04,41.72,42.08,41.64,41.86,41.86,56889,0.0
2020-05-05,41.82,41.97,41.62,41.79,41.79,1485912,0.0
2020-05-06,41.74,41.99,41.23,41.61,41.61,1797763,0.0
2020-05-07,41.63,43.54,41.63,43.23,43.23,3660310,0.0
2020-05-08,43.21,43.77,43.21,43.5,43.5,2275735,0.0
2020-05-11,43.59,43.99,42.8,43.4,43.4,2976646,0.0
2020-05-12,43.39,43.39,42.67,42.89,42.89,1945679,0.0
2020-05-13,42.77,44.04,42.64,43.34,43.34,4673224,0.0
2020-05-14,43.3,43.3,42.33,42.41,42.41,2264540,0.0
2020-05-15,42.42,42.79,42.09,42.44,42.44,2478917,0.0
2020-05-18,42.51,44.11,42.51,43.77,43.77,4063080,0.0
2020-05-19,43.81,43.81,41.88,42.58,42.58,3804830,0.0
2020-05-20,42.4,42.7,42.4,42.61,42.61,180135,0.0
2020-05-21,42.56,42.56,42.24,42.27,42.27,2274938,0.0
2020-05-22,42.26,42.26,41.64,41.77,41.77,716797,0.0
2020-05-25,41.62,41.89,41.61,41.75,41.75,4191700,0.0
2020-05-26,41.77,42.04,41.77,41.98,41.98,4962772,0.0
2020-05-27,42.05,42.29,42.05,42.2,42.2,4016162,0.0
2020-05-28,42.33,42.63,42.07,42.35,42.35,2268305,0.0
2020-05-29,42.29,42.29,41.18,41.63,41.63,3293014,0.0
2020-06-01,41.54,41.78,41.24,41.51,41.51,481695,0.0
2020-06-02,41.56,41.95,41.56,41.92,41.92,4179257,0.0
2020-06-03,41.91,41.91,40.8,41.21,41.21,1043720,0.0
2020-06-04,41.19,41.43,40.68,41.05,41.05,3341371,0.0
2020-06-05,41.13,41.13,40.41,40.72,40.72,2145814,0.0
2020-06-08,40.7,40.89,40.35,40.62,40.62,4934682,0.0
2020-06-09,40.55,41.14,40.55,41.12,41.12,389323,0.0
2020-06-10,41.19,42.65,41.19,42.36,42.36,1444697,0.0
2020-06-11,42.3,42.3,41.29,41.58,41.58,459328,0.0
2020-06-12,41.63,42.28,41.46,41.87,41.87,3545960,0.0
2020-06-15,41.93,41.93,41.72,41.76,41.76,3454499,0.0
2020-06-16,41.77,41.77,41.12,41.28,41.28,3414855,0.0
2020-06-17,41.28,41.28,41.15,41.2,41.2,3075566,0.0
2020-06-18,41.29,41.29,39.69,39.99,39.99,3286224,0.0
2020-06-19,39.92,39.92,39.06,39.13,39.13,2792267,0.0
2020-06-22,39.17,39.88,38.82,39.35,39.35,1278685,0.0
2020-06-23,39.29,39.66,39.29,39.55,39.55,4336885,0.0
2020-06-24,39.56,40.44,39.56,40.26,40.26,4120493,0.0
2020-06-25,40.27,41.33,39.65,40.49,40.49,3582672,0.0
2020-06-26,40.47,40.69,40.3,40.49,40.49,682728,0.0
2020-06-29,40.54,40.83,40.44,40.64,40.64,4828982,0.0
2020-06-30,40.57,41.04,40.49,40.76,40.76,4051458,0.0
2020-07-01,40.85,41.73,40.71,41.22,41.22,1319097,0.0
2020-07-02,41.27,41.27,40.81,40.84,40.84,4597568,0.0
2020-07-03,40.9,42.1,40.9,41.62,41.62,118078,0.0
2020-07-06,41.58,41.73,41.5,41.61,41.61,4327631,0.0
2020-07-07,41.62,41.62,40.8,41.19,41.19,1315101,0.0
2020-07-08,41.18,41.91,41.12,41.52,41.52,1159460,0.0
2020-07-09,41.43,42.41,41.43,42.12,42.12,648020,0.0
2020-07-10,42.15,42.15,41.99,42.0,42.0,3890555,0.0
2020-07-13,41.89,42.24,41.89,42.2,42.2,4925210,0.0
2020-07-14,42.29,42.29,41.63,41.95,41.95,1105217,0.0
2020-07-15,41.99,41.99,40.14,40.52,40.52,513419,0.0
2020-07-16,40.47,41.13,40.09,40.61,40.61,1851008,0.0
2020-07-17,40.65,40.93,40.6,40.77,40.77,2868355,0.0
2020-07-20,40.84,40.84,40.2,40.4,40.4,3352900,0.0
2020-07-21,40.45,41.04,40.45,40.77,40.77,4266647,0.0
2020-07-22,40.84,41.48,39.65,40.57,40.57,3887839,0.0
2020-07-23,40.61,41.14,40.61,41.1,41.1,2300211,0.0
2020-07-24,41.04,41.04,40.59,40.69,40.69,3455187,0.0
2020-07-27,40.61,40.61,39.97,40.08,40.08,4836978,0.0
2020-07-28,40.16,40.16,39.14,39.58,39.58,4251142,0.0
2020-07-29,39.63,39.87,39.63,39.77,39.77,1575622,0.0
2020-07-30,39.7,40.47,39.7,40.13,40.13,2338137,0.0
2020-07-31,40.27,40.27,39.36,39.63,39.63,3563298,0.0
2020-08-03,39.58,39.58,38.66,39.02,39.02,1347217,0.0
2020-08-04,38.98,39.05,38.38,38.71,38.71,2689879,0.0
2020-08-05,38.61,39.14,38.61,38.97,38.97,703578,0.0
2020-08-06,39.02,39.23,39.02,39.13,39.13,2474994,0.0
2020-08-07,39.06,39.86,39.06,39.72,39.72,4909926,0.0
2020-08-10,39.7,39.71,38.73,39.22,39.22,982031,0.0
2020-08-11,39.2,39.21,38.46,38.83,38.83,294306,0.0
2020-08-12,38.82,39.44,38.82,39.17,39.17,3112857,0.0
2020-08-13,39.2,39.76,38.69,39.23,39.23,4332410,0.0
2020-08-14,39.23,39.92,39.1,39.51,39.51,2268411,0.0
2020-08-17,39.51,39.51,39.45,39.47,39.47,1400906,0.0
2020-08-18,39.49,40.19,39.44,39.81,39.81,3378290,0.0
2020-08-19,39.64,39.64,38.89,38.97,38.97,4267551,0.0
2020-08-20,38.89,39.39,38.72,39.05,39.05,448350,0.0
2020-08-21,38.89,38.89,38.46,38.52,38.52,980406,0.0
2020-08-24,38.57,38.66,38.57,38.64,38.64,1026165,0.0
2020-08-25,38.63,39.42,38.57,39.0,39.0,3810491,0.0
2020-08-26,38.97,38.97,38.5,38.57,38.57,679842,0.0
2020-08-27,38.47,38.47,38.07,38.07,38.07,4992574,0.0
2020-08-28,38.06,38.06,37.96,38.0,38.0,4361061,0.0
2020-08-31,37.96,37.96,37.34,37.5,37.5,3411135,0.0
2020-09-01,37.46,37.46,36.77,37.09,37.09,665310,0.0
2020-09-02,37.13,38.44,37.13,38.13,38.13,4417234,0.0
2020-09-03,38.05,38.36,37.89,38.12,38.12,3175420,0.0
2020-09-04,38.23,38.69,38.23,38.58,38.58,4277281,0.0
2020-09-07,38.61,38.61,37.86,38.03,38.03,256524,0.0
2020-09-08,38.22,39.12,37.39,38.25,38.25,116575,0.0
2020-09-09,38.23,38.23,37.72,37.79,37.79,220762,0.0
2020-09-10,37.87,37.87,37.59,37.73,37.73,2573573,0.0
2020-09-11,37.7,37.7,36.55,36.88,36.88,1785236,0.0
2020-09-14,36.88,37.19,36.44,36.82,36.82,3021858,0.0
2020-09-15,36.79,36.79,36.15,36.28,36.28,684828,0.0
2020-09-16,36.23,36.47,35.52,35.99,35.99,1687253,0.0
2020-09-17,35.88,36.45,35.75,36.1,36.1,538033,0.0
2020-09-18,36.14,36.63,36.14,36.5,36.5,653345,0.0
2020-09-21,36.33,37.0,36.33,36.76,36.76,112935,0.0
2020-09-22,36.73,37.24,36.72,36.98,36.98,3475403,0.0
2020-09-23,36.84,37.01,36.57,36.79,36.79,2860407,0.0
2020-09-24,36.8,38.83,36.8,38.06,38.06,664780,0.0
2020-09-25,38.2,38.2,36.52,37.23,37.23,1057859,0.0
2020-09-28,37.27,37.27,35.72,36.06,36.06,1261519,0.0
2020-09-29,36.09,36.09,35.01,35.21,35.21,141299,0.0
2020-09-30,35.07,35.7,35.07,35.39,35.39,2158673,0.0
2020-10-01,35.38,36.04,35.38,35.78,35.78,3216013,0.0
2020-10-02,35.74,35.87,34.69,35.28,35.28,1909263,0.0
2020-10-05,35.19,35.25,34.51,34.88,34.88,4189782,0.0
2020-10-06,34.79,34.79,33.93,34.09,34.09,3669894,0.0
2020-10-07,34.15,34.24,33.43,33.84,33.84,1936091,0.0
2020-10-08,33.83,33.83,33.72,33.74,33.74,3247264,0.0
2020-10-09,33.75,34.35,32.9,33.63,33.63,1478078,0.0
2020-10-12,33.53,34.24,33.46,33.85,33.85,575004,0.0
2020-10-13,33.95,33.95,33.09,33.45,33.45,4696435,0.0
2020-10-14,33.47,33.47,32.58,32.62,32.62,935624,0.0
2020-10-15,32.7,32.7,32.54,32.59,32.59,4221187,0.0
2020-10-16,32.63,32.93,32.16,32.54,32.54,3460072,0.0
2020-10-19,32.54,32.88,32.54,32.88,32.88,2244548,0.0
2020-10-20,33.01,33.29,32.69,32.99,32.99,1740317,0.0
2020-10-21,32.93,33.33,32.93,33.33,33.33,2811324,0.0
2020-10-22,33.41,33.62,33.02,33.32,33.32,4243396,0.0
2020-10-23,33.32,33.45,32.38,32.91,32.91,2439086,0.0
2020-10-26,32.91,32.91,32.52,32.54,32.54,194152,0.0
2020-10-27,32.59,33.21,32.59,33.03,33.03,4653792,0.0
2020-10-28,33.03,33.39,32.98,33.19,33.19,886959,0.0
2020-10-29,33.25,33.25,32.52,32.61,32.61,4349446,0.0
2020-10-30,32.55,33.49,32.25,32.87,32.87,4442108,0.0
2020-11-02,32.85,34.18,32.85,33.6,33.6,759636,0.0
2020-11-03,33.78,33.78,32.63,32.86,32.86,2423382,0.0
2020-11-04,32.72,32.87,31.77,32.32,32.32,4771646,0.0
2020-11-05,32.39,32.39,31.91,31.93,31.93,4499039,0.0
2020-11-06,31.9,32.71,31.9,32.64,32.64,601447,0.0
2020-11-09,32.72,32.72,32.2,32.21,32.21,3897992,0.0
2020-11-10,32.25,32.51,32.25,32.48,32.48,319311,0.0
2020-11-11,32.53,32.75,32.17,32.46,32.46,4445349,0.0
2020-11-12,32.37,33.08,32.37,32.78,32.78,2857434,0.0
2020-11-13,32.75,32.75,32.48,32.5,32.5,4352277,0.0
2020-11-16,32.47,33.52,32.47,33.06,33.06,3536848,0.0
2020-11-17,33.04,33.38,32.95,33.16,33.16,3565681,0.0
2020-11-18,33.17,33.17,32.46,32.8,32.8,3205091,0.0
2020-11-19,32.84,34.41,32.28,33.35,33.35,816927,0.0
2020-11-20,33.34,33.54,33.34,33.48,33.48,1817307,0.0
2020-11-23,33.53,33.53,32.4,32.84,32.84,3373982,0.0
2020-11-24,32.87,32.87,32.36,32.61,32.61,1548064,0.0
2020-11-25,32.58,32.58,31.4,31.97,31.97,3131897,0.0
2020-11-26,31.93,32.23,31.78,32.0,32.0,4748515,0.0
2020-11-27,32.02,32.02,31.83,31.88,31.88,2279248,0.0
2020-11-30,31.97,31.97,31.31,31.34,31.34,350419,0.0
2020-12-01,31.35,31.98,31.35,31.69,31.69,591490,0.0
2020-12-02,31.72,31.96,31.6,31.78,31.78,4920004,0.0
2020-12-03,31.66,31.66,30.82,31.23,31.23,1886066,0.0
2020-12-04,31.28,31.97,30.75,31.36,31.36,1082279,0.0
2020-12-07,31.36,31.36,30.4,30.45,30.45,82752,0.0
2020-12-08,30.4,31.16,30.4,30.85,30.85,4849627,0.0
2020-12-09,30.81,30.9,30.34,30.62,30.62,4424549,0.0
2020-12-10,30.65,31.14,30.65,30.91,30.91,630887,0.0
2020-12-11,30.99,31.23,30.55,30.89,30.89,3129241,0.0
2020-12-14,30.99,30.99,30.68,30.69,30.69,368350,0.0
2020-12-15,30.69,31.01,30.69,31.01,31.01,4323917,0.0
2020-12-16,31.09,31.73,31.09,31.45,31.45,211657,0.0
2020-12-17,31.47,32.26,31.47,31.89,31.89,194816,0.0
2020-12-18,31.96,32.46,31.78,32.12,32.12,3788866,0.0
2020-12-21,32.16,33.37,32.16,32.87,32.87,2625844,0.0
2020-12-22,32.88,32.88,31.99,32.42,32.42,93552,0.0
2020-12-23,32.43,32.48,31.06,31.77,31.77,4174551,0.0
2020-12-24,31.74,32.11,31.74,32.05,32.05,2961823,0.0
2020-12-25,32.01,32.16,31.67,31.92,31.92,3224035,0.0
2020-12-28,31.97,31.98,30.67,31.33,31.33,3935790,0.0
2020-12-29,31.35,31.43,30.65,31.04,31.04,1374412,0.0
2020-12-30,31.02,31.48,31.02,31.46,31.46,4632987,0.0
2020-12-31,31.34,31.96,31.18,31.57,31.57,4757388,0.0
2021-01-01,31.57,31.64,31.28,31.46,31.46,4327774,0.0
2021-01-04,31.46,31.46,30.31,30.59,30.59,1507001,0.0
2021-01-05,30.57,30.57,29.96,30.24,30.24,2700721,0.0
2021-01-06,30.21,30.99,30.15,30.57,30.57,1156821,0.0
2021-01-07,30.5,30.99,30.36,30.67,30.67,1403635,0.0
2021-01-08,30.59,31.44,30.59,31.22,31.22,4973334,0.0
2021-01-11,31.14,31.37,31.14,31.36,31.36,342395,0.0
2021-01-12,31.32,31.68,31.13,31.4,31.4,1916802,0.0
2021-01-13,31.45,31.66,31.45,31.65,31.65,2794131,0.0
2021-01-14,31.64,31.89,31.6,31.74,31.74,1716589,0.0
2021-01-15,31.76,32.0,31.76,31.88,31.88,2220137,0.0
2021-01-18,31.98,31.98,31.59,31.66,31.66,3940445,0.0
2021-01-19,31.67,31.9,31.01,31.45,31.45,4692490,0.0
2021-01-20,31.48,31.69,31.1,31.4,31.4,3781174,0.0
2021-01-21,31.41,31.5,31.26,31.38,31.38,4548289,0.0
2021-01-22,31.35,31.35,30.94,31.0,31.0,4379358,0.0
2021-01-25,31.08,31.46,30.29,30.88,30.88,1514631,0.0
2021-01-26,30.85,31.55,30.56,31.05,31.05,4107127,0.0
2021-01-27,31.01,32.31,31.01,31.88,31.88,141686,0.0
2021-01-28,31.84,32.38,31.55,31.96,31.96,270348,0.0
2021-01-29,31.94,32.04,31.83,31.93,31.93,4299064,0.0
