date,open,high,low,close,adj_close,volume,dividend
2020-01-02,151.23,151.96,150.6,151.28,151.28,1990353,0.0
2020-01-03,151.23,151.23,148.16,149.25,149.25,4938776,0.0
2020-01-06,148.87,151.87,148.87,150.39,150.39,3712974,0.0
2020-01-07,150.53,150.53,149.2,149.22,149.22,2348644,0.0
2020-01-08,149.16,153.17,149.16,152.34,152.34,4994279,0.0
2020-01-09,153.0,154.5,150.89,152.7,152.7,2019361,0.0
2020-01-10,153.03,157.26,153.03,155.17,155.17,964084,0.0
2020-01-13,155.11,158.69,153.64,156.16,156.16,1393092,0.0
2020-01-14,155.44,157.63,154.59,156.11,156.11,3274410,0.0
2020-01-15,155.86,156.77,155.68,156.23,156.23,4453266,0.0
2020-01-16,155.82,158.27,155.82,157.93,157.93,402362,0.0
2020-01-17,157.93,159.6,156.08,157.84,157.84,2736673,0.0
2020-01-20,157.62,157.84,157.2,157.52,157.52,2123602,0.0
2020-01-21,157.96,157.96,155.29,156.27,156.27,4405575,0.0
2020-01-22,156.74,160.44,155.95,158.19,158.19,65625,0.0
2020-01-23,157.91,159.85,155.01,157.43,157.43,952293,0.0
2020-01-24,157.05,157.14,156.51,156.82,156.82,3437566,0.0
2020-01-27,156.69,160.69,156.69,159.61,159.61,4337667,0.0
2020-01-28,159.89,162.53,159.89,161.47,161.47,2918335,0.0
2020-01-29,161.72,162.3,161.72,162.19,162.19,3269816,0.0
2020-01-30,161.87,163.23,161.58,162.41,162.41,4005710,0.0
2020-01-31,162.47,166.84,162.47,166.81,166.81,459707,0.0
2020-02-03,166.17,172.57,166.17,169.56,169.56,4543745,0.0
2020-02-04,169.7,171.18,167.71,169.45,169.45,3003564,0.0
2020-02-05,169.32,170.18,169.25,169.72,169.72,4458916,0.0
2020-02-06,169.34,172.65,169.3,170.97,170.97,3653661,0.0
2020-02-07,171.22,172.53,169.79,171.16,171.16,4892321,0.0
2020-02-10,170.92,171.43,169.85,170.64,170.64,2695917,0.0
2020-02-11,170.54,170.54,166.22,166.49,166.49,616799,0.0
2020-02-12,166.22,166.22,163.96,164.76,164.76,1482049,0.0
2020-02-13,164.77,166.22,164.77,165.88,165.88,2820412,0.0
2020-02-14,166.88,169.71,166.88,168.54,168.54,3816232,0.0
2020-02-17,169.26,169.78,168.64,169.21,169.21,892827,0.0
2020-02-18,169.84,169.9,167.83,168.86,168.86,2542434,0.0
2020-02-19,168.94,170.0,168.94,169.56,169.56,4692199,0.0
2020-02-20,169.26,169.26,168.26,168.32,168.32,4833574,0.0
2020-02-21,168.15,168.55,166.68,167.61,167.61,148114,0.0
2020-02-24,167.22,168.34,166.04,167.19,167.19,1046000,0.0
2020-02-25,167.14,167.14,165.37,165.44,165.44,2937212,0.0
2020-02-26,165.63,167.3,163.72,165.51,165.51,4249475,0.0
2020-02-27,165.66,165.66,163.58,164.52,164.52,3889869,0.0
2020-02-28,164.37,167.34,163.06,165.2,165.2,2735526,0.0
2020-03-02,164.83,165.59,163.88,164.74,164.74,2924159,0.0
2020-03-03,165.0,165.0,160.97,161.65,161.65,3113043,0.0
2020-03-04,161.89,164.88,160.17,162.53,162.53,4738047,0.0
2020-03-05,162.89,164.54,162.89,164.29,164.29,4407745,0.0
2020-03-06,164.66,166.17,164.66,165.77,165.77,362897,0.0
2020-03-09,166.55,170.86,166.55,168.8,168.8,1798720,0.0
2020-03-10,169.11,172.07,169.11,171.4,171.4,3705420,0.0
2020-03-11,171.46,175.37,171.46,174.68,174.68,1115696,0.0
2020-03-12,175.11,176.56,173.47,175.02,175.02,640240,0.0
2020-03-13,174.46,176.16,174.46,176.06,176.06,3969566,0.0
2020-03-16,176.29,176.29,173.32,174.31,174.31,3338442,0.0
2020-03-17,173.75,176.87,173.75,175.95,175.95,4411956,0.0
2020-03-18,175.84,178.63,175.25,176.94,176.94,885485,0.0
2020-03-19,177.15,177.94,172.73,175.34,175.34,3391754,0.0
2020-03-20,175.48,176.56,175.48,176.37,176.37,4461605,0.0
2020-03-23,175.85,177.26,175.85,176.98,176.98,4767915,0.0
2020-03-24,177.12,181.07,177.12,179.81,179.81,4761771,0.0
2020-03-25,180.34,183.14,180.05,181.6,181.6,3374828,0.0
2020-03-26,181.33,181.6,180.9,181.25,181.25,3867076,0.0
2020-03-27,181.87,184.65,178.27,181.46,181.46,2848553,0.0
2020-03-30,181.77,183.16,181.77,182.74,182.74,667240,0.0
2020-03-31,182.53,183.72,180.01,181.87,181.87,810952,4.2189
2020-04-01,181.46,185.62,181.46,184.51,184.51,654038,0.0
2020-04-02,184.28,187.0,184.28,185.81,185.81,2783611,0.0
2020-04-03,185.54,185.54,183.7,184.43,184.43,3291950,0.0
2020-04-06,184.2,185.1,184.12,184.61,184.61,4991063,0.0
2020-04-07,185.24,190.07,180.94,185.51,185.51,1421771,0.0
2020-04-08,186.29,188.12,185.66,186.89,186.89,1580938,0.0
2020-04-09,187.44,189.7,185.11,187.4,187.4,171998,0.0
2020-04-10,187.21,190.86,187.21,189.81,189.81,1498586,0.0
2020-04-13,190.38,190.38,187.38,188.35,188.35,3472719,0.0
2020-04-14,188.53,188.53,186.67,187.43,187.43,3068497,0.0
2020-04-15,187.5,187.5,183.39,184.34,184.34,535089,0.0
2020-04-16,184.0,184.0,180.25,180.43,180.43,4699378,0.0
2020-04-17,180.1,180.1,179.89,179.93,179.93,4799686,0.0
2020-04-20,179.93,179.93,174.47,176.41,176.41,2430178,0.0
2020-04-21,176.1,176.42,175.22,175.82,175.82,142868,0.0
2020-04-22,175.84,175.84,173.2,174.28,174.28,2114142,0.0
2020-04-23,174.12,174.72,174.12,174.47,174.47,3512683,0.0
2020-04-24,174.24,175.0,171.43,173.21,173.21,3701996,0.0
2020-04-27,173.07,176.67,173.07,176.45,176.45,3650920,0.0
2020-04-28,176.76,176.76,172.32,173.58,173.58,1496732,0.0
2020-04-29,174.07,175.88,174.07,175.87,175.87,923745,0.0
2020-04-30,175.44,176.5,174.75,175.63,175.63,4816778,0.0
2020-05-01,175.32,178.52,175.32,176.92,176.92,892429,0.0
2020-05-04,176.91,179.21,176.91,178.16,178.16,1532777,0.0
2020-05-05,178.09,178.47,177.76,178.12,178.12,3218964,0.0
2020-05-06,178.04,178.04,174.85,175.77,175.77,3047396,0.0
2020-05-07,175.52,176.79,174.76,175.78,175.78,920120,0.0
2020-05-08,175.55,176.33,174.13,175.23,175.23,3813586,0.0
2020-05-11,175.78,179.73,175.58,177.65,177.65,1074496,0.0
2020-05-12,177.02,177.02,175.8,176.02,176.02,3090324,0.0
2020-05-13,176.65,177.94,172.82,175.38,175.38,4300012,0.0
2020-05-14,175.14,175.14,170.92,171.95,171.95,4080006,0.0
2020-05-15,171.95,172.83,171.32,172.08,172.08,2233276,0.0
2020-05-18,172.31,172.93,170.3,171.61,171.61,208040,0.0
2020-05-19,171.96,171.96,170.62,171.05,171.05,2598230,0.0
2020-05-20,170.96,171.77,170.33,171.05,171.05,3684016,0.0
2020-05-21,171.31,174.42,171.31,173.22,173.22,1935025,0.0
2020-05-22,173.83,173.83,171.77,172.73,172.73,4731576,0.0
2020-05-25,172.74,173.51,172.43,172.97,172.97,2955749,0.0
2020-05-26,172.77,175.32,172.77,175.1,175.1,555785,0.0
2020-05-27,175.14,175.14,172.99,173.86,173.86,3794488,0.0
