date,open,high,low,close,adj_close,volume,dividend
2020-01-02,150.05,151.76,148.04,149.9,149.9,4535327,0.0
2020-01-03,149.71,149.71,148.2,148.67,148.67,1166472,0.0
2020-01-06,148.76,150.16,148.76,149.46,149.46,1280333,0.0
2020-01-07,149.42,149.42,146.85,146.96,146.96,4664877,0.0
2020-01-08,146.46,151.35,146.46,150.85,150.85,2244268,0.0
2020-01-09,150.97,152.25,150.97,151.68,151.68,1561866,0.0
2020-01-10,151.92,154.51,151.92,153.92,153.92,861931,0.0
2020-01-13,154.16,154.42,152.5,153.46,153.46,1224912,0.0
2020-01-14,153.62,153.62,151.39,152.51,152.51,2290361,0.0
2020-01-15,152.56,154.11,152.56,153.93,153.93,4913655,0.0
2020-01-16,153.91,153.91,151.32,152.4,152.4,2455059,0.0
2020-01-17,151.93,154.99,151.93,154.23,154.23,2780156,0.0
2020-01-20,154.29,154.29,150.92,151.56,151.56,3284331,0.0
2020-01-21,151.46,151.46,144.93,148.19,148.19,2061609,0.0
2020-01-22,148.24,151.63,148.24,151.6,151.6,1023266,0.0
2020-01-23,151.88,152.72,151.88,152.58,152.58,4773336,0.0
2020-01-24,152.57,152.57,146.43,148.7,148.7,180182,0.0
2020-01-27,148.81,150.6,148.81,149.81,149.81,3313409,0.0
2020-01-28,149.5,153.61,149.5,152.26,152.26,4605277,0.0
2020-01-29,152.12,156.02,152.12,155.93,155.93,4554272,0.0
2020-01-30,155.7,155.75,155.37,155.56,155.56,521688,0.0
2020-01-31,155.46,158.13,155.46,157.94,157.94,4868787,0.0
2020-02-03,157.53,157.53,156.33,156.48,156.48,2234545,0.0
2020-02-04,156.78,158.08,156.78,157.49,157.49,3472995,0.0
2020-02-05,157.95,157.95,154.33,154.93,154.93,4357724,0.0
2020-02-06,154.9,154.9,152.85,153.76,153.76,3348361,0.0
2020-02-07,153.75,153.85,150.95,152.4,152.4,159195,0.0
2020-02-10,152.39,152.39,150.49,151.13,151.13,110713,0.0
2020-02-11,151.54,151.54,147.6,148.9,148.9,3368247,0.0
2020-02-12,148.78,148.78,147.41,148.09,148.09,536257,0.0
2020-02-13,148.2,148.2,147.01,147.58,147.58,613950,0.0
2020-02-14,147.59,149.65,145.63,147.64,147.64,2131153,0.0
2020-02-17,147.89,147.89,147.63,147.66,147.66,4548357,0.0
2020-02-18,147.74,151.71,147.09,149.4,149.4,1554063,0.0
2020-02-19,149.35,149.48,148.27,148.87,148.87,2202730,0.0
2020-02-20,148.86,151.79,146.83,149.31,149.31,2540658,0.0
2020-02-21,149.58,149.58,147.67,148.31,148.31,2832081,0.0
2020-02-24,148.72,149.31,148.58,148.95,148.95,2401420,0.0
2020-02-25,149.03,149.1,148.95,149.03,149.03,849821,0.0
2020-02-26,148.92,148.92,147.59,147.91,147.91,516173,0.0
2020-02-27,148.04,148.44,147.53,147.98,147.98,2990050,0.0
2020-02-28,148.08,148.69,147.42,148.05,148.05,2387676,0.0
2020-03-02,147.79,149.83,144.58,147.2,147.2,1010970,0.0
2020-03-03,147.27,148.29,146.22,147.26,147.26,1857851,0.0
2020-03-04,147.06,147.06,146.15,146.47,146.47,4023189,0.0
2020-03-05,146.92,146.92,146.34,146.59,146.59,1884133,0.0
