date,open,high,low,close,adj_close,volume,dividend
2020-01-02,4.94,5.02,4.87,4.95,4.95,4860952,0.0
2020-01-03,4.96,5.04,4.89,4.97,4.97,1306932,0.0
2020-01-06,4.97,5.08,4.97,5.06,5.06,4250581,0.0
2020-01-07,5.07,5.07,4.94,5.0,5.0,3345617,0.0
2020-01-08,4.99,5.3,4.99,5.23,5.23,1208541,0.0
2020-01-09,5.23,5.33,5.08,5.2,5.2,3624960,0.0
2020-01-10,5.2,5.22,5.16,5.19,5.19,122854,0.0
2020-01-13,5.18,5.24,5.16,5.2,5.2,3814835,0.0
2020-01-14,5.21,5.21,4.97,5.03,5.03,1176881,0.0
2020-01-15,5.04,5.04,4.86,4.92,4.92,4840350,0.0
2020-01-16,4.92,4.98,4.9,4.94,4.94,1568007,0.0
2020-01-17,4.93,5.04,4.93,4.98,4.98,983456,0.0
2020-01-20,4.98,5.03,4.97,5.0,5.0,310802,0.0
2020-01-21,4.99,5.06,4.97,5.01,5.01,4469984,0.0
2020-01-22,5.01,5.01,4.94,4.96,4.96,199251,0.0
2020-01-23,4.95,5.09,4.95,5.09,5.09,147741,0.0
2020-01-24,5.09,5.21,5.0,5.11,5.11,1584989,0.0
2020-01-27,5.09,5.1,4.97,5.03,5.03,1143460,0.0
2020-01-28,5.02,5.02,4.99,5.0,5.0,1909160,0.0
2020-01-29,5.01,5.03,4.95,4.99,4.99,3559930,0.0
2020-01-30,4.98,5.05,4.96,5.0,5.0,2579413,0.0
2020-01-31,5.0,5.0,4.86,4.92,4.92,2818931,0.0
2020-02-03,4.94,4.97,4.93,4.95,4.95,3476509,0.0
2020-02-04,4.94,4.94,4.85,4.86,4.86,2020633,0.0
2020-02-05,4.85,4.96,4.85,4.92,4.92,4508739,0.0
2020-02-06,4.92,4.92,4.78,4.82,4.82,1137767,0.0
2020-02-07,4.83,4.92,4.81,4.86,4.86,566039,0.0
2020-02-10,4.85,4.93,4.85,4.9,4.9,4965142,0.0
2020-02-11,4.9,4.91,4.9,4.91,4.91,1246440,0.0
2020-02-12,4.92,4.92,4.84,4.85,4.85,4662454,0.0
2020-02-13,4.85,4.95,4.85,4.93,4.93,1110891,0.0
2020-02-14,4.94,4.94,4.79,4.79,4.79,1662630,0.0
2020-02-17,4.79,4.79,4.73,4.74,4.74,4944813,0.0
2020-02-18,4.72,4.79,4.66,4.73,4.73,2419142,0.0
2020-02-19,4.73,4.75,4.73,4.74,4.74,4797122,0.0
2020-02-20,4.74,4.77,4.74,4.75,4.75,3785773,0.0
2020-02-21,4.76,4.87,4.76,4.85,4.85,1092914,0.0
2020-02-24,4.87,4.96,4.87,4.95,4.95,2619982,0.0
2020-02-25,4.95,5.07,4.93,5.0,5.0,2521661,0.0
2020-02-26,4.99,4.99,4.92,4.95,4.95,155791,0.0
2020-02-27,4.95,4.95,4.89,4.9,4.9,2280339,0.0
2020-02-28,4.9,4.9,4.86,4.86,4.86,507866,0.0
2020-03-02,4.86,4.93,4.81,4.87,4.87,1580370,0.0
2020-03-03,4.87,4.87,4.84,4.85,4.85,3262187,0.0
