date,open,high,low,close,adj_close,volume,dividend
2020-01-02,4.98,5.06,4.92,4.99,4.99,1090965,0.0
2020-01-03,4.99,5.04,4.8,4.92,4.92,866095,0.0
2020-01-06,4.93,5.04,4.93,5.02,5.02,1916685,0.0
2020-01-07,5.03,5.03,4.95,4.97,4.97,4516560,0.0
2020-01-08,4.95,5.07,4.95,5.06,5.06,2919260,0.0
2020-01-09,5.06,5.12,5.06,5.12,5.12,1597590,0.0
2020-01-10,5.11,5.12,5.04,5.08,5.08,1648355,0.0
2020-01-13,5.08,5.08,4.94,4.99,4.99,2271719,0.0
2020-01-14,4.99,5.03,4.98,5.0,5.0,221902,0.0
2020-01-15,5.0,5.02,4.85,4.93,4.93,4943149,0.0
2020-01-16,4.93,4.95,4.85,4.9,4.9,4531606,0.0
2020-01-17,4.89,4.91,4.86,4.88,4.88,295305,0.0
2020-01-20,4.9,4.9,4.82,4.83,4.83,3722422,0.0
2020-01-21,4.83,4.93,4.79,4.86,4.86,3756855,0.0
2020-01-22,4.87,4.91,4.79,4.85,4.85,4817959,0.0
2020-01-23,4.85,4.9,4.79,4.85,4.85,3016484,0.0
2020-01-24,4.85,4.99,4.85,4.94,4.94,4499183,0.0
2020-01-27,4.95,4.95,4.8,4.82,4.82,3326478,0.0
2020-01-28,4.81,4.87,4.73,4.8,4.8,3250975,0.0
2020-01-29,4.81,4.81,4.63,4.71,4.71,528129,0.0
2020-01-30,4.7,4.76,4.68,4.72,4.72,3567062,0.0
2020-01-31,4.73,4.73,4.61,4.64,4.64,1683942,0.0
2020-02-03,4.63,4.63,4.61,4.62,4.62,775186,0.0
2020-02-04,4.61,4.61,4.5,4.56,4.56,3755086,0.0
2020-02-05,4.54,4.59,4.54,4.57,4.57,4952613,0.0
2020-02-06,4.57,4.57,4.52,4.53,4.53,3584364,0.0
2020-02-07,4.53,4.53,4.44,4.48,4.48,2912520,0.0
2020-02-10,4.49,4.52,4.43,4.48,4.48,4743851,0.0
2020-02-11,4.48,4.55,4.48,4.54,4.54,4212276,0.0
2020-02-12,4.53,4.53,4.49,4.49,4.49,1193640,0.0
2020-02-13,4.48,4.48,4.34,4.4,4.4,1074423,0.0
